Jason,Zach,Joanna,Chris,5
Joanna,Chris,Jason,Zach,7
Jason,Raihan,JohnH,Ajith,2
Reynolds,Ajith,Jason,Raihan,7
Reynolds,Ajith,Jason,Raihan,5
Peter,Jacques,Bing,Joanna,0
Jason,Brian,Bing,Jacques,4
Jason,Peter,Joanna,Chris,6
Bing,Brian,Jason,Joanna,4
Brian,Bing,Joanna,Jason,2
Brian,Jason,Bing,Reynolds,3
Brian,Jason,Alex,Reynolds,3
Reynolds,Alex,Brian,Jason,3
Reynolds,Alex,Jason,Brian,2
Alex,Dan,Reynolds,JohnH,3
Alex,Dan,Zach,Ajith,4
Alex,Dan,Brian,Reynolds,7
Jason,Dan,Zach,Reynolds,4
Jason,Dan,Trevor,Kwang,2
Dan,Jason,Brian,Chris,3
Jason,Dan,Alex,Raihan,4
Jason,Dan,Trevor,Ajith,5
Dan,Brian,Kwang,Chris,6
Dan,Chris,Brian,Trevor,2
Dan,Chris,Trevor,Kwang,5
Brian,Trevor,Dan,Chris,7
Alex,KevinG,Trevor,Chris,5
Alex,KevinG,Chris,Trevor,6
Alex,KevinG,Brian,Reynolds,6
JohnH,Dan,Alex,KevinG,3
JohnH,Dan,Brian,Ajith,2
Alex,Reynolds,JohnH,Dan,5
Reynolds,Alex,Brian,Dan,5
Zach,Chris,Jason,Melisa,6
Dan,Jason,Zach,Brian,7
Jason,Dan,JohnH,Brian,1
Jason,JohnH,Brian,Dan,6
Trevor,JohnH,Reynolds,Chris,6
Reynolds,Ajith,Zach,Alex,3
Reynolds,Ajith,Kwang,Dan,4
Reynolds,Ajith,JonJ,Jacques,2
Alex,Raihan,Reynolds,Ajith,4
Brian,Peter,Alex,Raihan,0
Brian,Peter,Alex,Chris,2
JonJ,Jason,Brian,Dan,5
Brian,Dan,JonJ,Jason,1
Jason,JonJ,Dan,Brian,6
JonJ,Jason,Brian,Dan,7
Alex,Chris,Zach,Reynolds,1
Jason,Ajith,Alex,Chris,5
Jason,Ajith,Melisa,Zach,4
JonJ,Raihan,Jason,Ajith,7
Dan,Alex,JonJ,Raihan,5
Dan,Alex,Melisa,JohnH,3
Dan,Alex,JohnH,Ajith,4
Reynolds,Chris,Alex,Jason,7
Reynolds,Chris,Melisa,Zach,1
Reynolds,Chris,Alex,Jason,6
JohnH,Dan,Alex,Chris,6
JohnH,Dan,Jason,Ajith,6
JohnH,Dan,Brian,Zach,2
Dan,JohnH,Bing,Joanna,1
Joanna,JohnH,Trevor,Dan,4
Joanna,Raihan,Jason,JohnH,3
Joanna,Raihan,Jason,Alex,4
Joanna,JohnH,Alex,Jason,7
Trevor,Peter,Joanna,JohnH,5
Dan,Alex,Trevor,Brian,6
Dan,Trevor,Brian,Alex,6
Alex,Brian,Trevor,Dan,5
Trevor,Dan,Alex,Brian,7
Brian,Alex,Dan,Trevor,5
Reynolds,Dan,Brian,Trevor,1
Dan,Brian,Reynolds,Chris,7
Reynolds,Chris,Trevor,Dan,2
Trevor,Dan,Reynolds,Chris,7
Reynolds,Chris,Trevor,Dan,7
Bing,Joanna,KevinG,Trevor,7
Joanna,Bing,Trevor,KevinG,6
Dan,Raihan,Bing,Joanna,5
Dan,Raihan,JohnH,Brian,4
JonJ,Trevor,KevinG,Dan,4
Joanna,Jason,JonJ,Trevor,2
Brian,Dan,Joanna,Jason,3
Brian,Dan,Melisa,Chris,2
